bird_id,species_common,binomial,use_body,extend_neck,Summed full body mass,whole_body_mass_g,body_length_cm,wing_span_cm,body_width_max_cm,body_height_max_cm,x_loc_of_body_max_cm,x_loc_of_humeral_insert_cm,y_loc_of_humeral_insert_cm,z_loc_of_humeral_insert_cm,z_dist_to_veh_ref_point_cm,x_loc_leg_insertion_cm,width_at_leg_insert_cm,right_wing_mass_g,left_wing_mass_g,head_torsotail_mass_g,head_length_cm,head_height_max_cm,head_mass_g,neck_length_cm,neck_width_cm,neck_mass_g,torsotail_length_cm,torsotail_mass_g,x_loc_HeadCoG_cm,z_loc_HeadCoG_cm,x_loc_TorsotailCoG_cm,z_loc_TorsotailCoG_cm,right_leg_mass_g,left_leg_mass_g,tail_width_cm,tail_length_cm,tail_mass_g,x_loc_TorsoCoG_cm,z_loc_TorsoCoG_cm,x_loc_tailCoG_cm,z_loc_tailCoG_cm,tail_depth_cm
Fal_per_20_1027,peregrine_falcon,Falco_peregrinus,Y,FALSE,668.86,670.85,39.5,83.9,6.95,5.9,4.8,2,2.6,1.3,0.87,7.9,4.75,71.53,73.52,525.8,6.15,3.14,44.49,3.2,1.12,20.56,31,460.75,4.21,1.67,8.5,2.1,50.59,49.95,4.6,15,8.36,7.9,1.7,,,
Fal_col_05_189,merlin,Falco_columbarius,Y,FALSE,201.49,218.51,24.7,54.1,3.82,3.61,2.57,0.88,1.58,0.81,0.56,5.62,2.89,15.4,22.23,170.69,4.7,2.65,20.56,2.1,0.82,6.11,20.2,144.02,3.2,1.5,5.2,1.5,16.45,16.23,4,9.2,2.66,4.1,2,,,
Fal_col_10_1726,merlin,Falco_columbarius,Y,FALSE,212.9,215.82,27.6,83.2,3.54,5.71,2.5,1.3,1.58,0.87,0.56,5.65,3.2,17.78,18.57,179.47,4.95,2.7,17.54,3.2,0.8,6.2,24,153.6,3.4,1.4,5.4,1.5,19.87,19.83,4.2,13,2.62,4.3,2.3,,,
Ana_pla_20_0291,mallard,Anas_platyrhynchos,Y,TRUE,1209.03,1208.93,54.2,88.8,8.45,7.7,4.52,1.4,0.95,1.4,1.2,7.49,6.5,75.6,75.5,1057.83,11.5,3.5,60.3,17.67,2.8,100.98,28.4,896.55,8.31,2.6,7.81,2.6,61.3,61.9,6.2,6.7,4.4,9.6,5.2,,,
Cor_cor_20_2526,common_raven,Corvus_corax,N,FALSE,815.03,753.8,57.2,109.8,7.3,9.8,6.5,2.2,3.4,3.2,3.5,10.7,6.8,76.86,117.91,705.66,11.87,4.1,76.96,8.82,2.31,51.18,37.4,533.17,8.65,2.2,8.45,3.05,62.29,66.21,6.71,24.5,17.99,7.75,4.5,,,
Chr_amh_20_1113,Amherst_pheasant,Chrysolophus_amherstiae,Y,TRUE,677.43,693.82,119.1,64.6,4.6,7.8,5.4,0.7,2.115,3.76,2.71,9.51,2.92,25.97,34.52,633.33,6.78,3.05,40.36,10.98,1.8,44.38,113.7,540.75,4.8,2.3,9.6,2.6,80.5,80.4,5.9,95,25.17,6.2,2.4,13.6,2.4,6.4
Lop_nyc_20_1113,silver_pheasant,Lophura_nycthemera,Y,TRUE,1357.3,1363.12,91.9,76.4,5.97,9.8,4.35,1.1,2.94,2.18,1.6,6.35,4.9,66.06,69.96,1227.1,7.9,3.84,40.8,9.72,1.4,42.3,87.1,1142.08,5.82,2.14,13.2,6.4,91.7,90.5,3.5,63,27.14,11.1,3.4,10.7,3.9,8
Lop_imp_20_1113,Himalayan_monal,Lophophorus_impejanus,Y,TRUE,2141.36,2088.44,92.5,84.2,11.5,14.4,7.8,1.4,3.5,3.5,2.4,9.2,6.1,141.8,184.21,1761.56,9.2,3.8,63.11,13.3,1.9,96.2,42.7,1698.45,6.1,2.5,9.2,6.5,250.24,250.27,8.6,17.3,6.3,10,4.4,,,
Pel_ery_20_1124,American_white_pelican,Pelecanus_erythrorhynchos,Y,FALSE,5817.76,5828.23,124.5,195,19.5,15.7,9.2,5.5,6.3,4.2,3.1,21.4,11.1,468.25,478.72,4881.26,38.5,6.5,248.68,39.3,2.7,283.22,55.1,4349.36,26.4,3.3,20.3,5.5,354.4,336.5,7.8,14,20.2,17.98,5.4,,,
Meg_alc_20_3588,belted_kingfisher,Megaceryle_alcyon,Y,TRUE,126.5,129.73,31.4,56,4.21,3.78,2.87,1.1,2.055,1.56,1.07,3.32,2,11.13,13.84,104.44,9.27,2.7,18.22,4.28,0.82,6.26,20.5,79.76,6.82,1.38,5.2,2.7,3.42,3.3,2,10,0.67,2.2,1.5,,,
Meg_alc_20_3562,belted_kingfisher,Megaceryle_alcyon,Y,TRUE,133.98,136.2,32.6,56.8,4.75,3.8,2.78,0.87,1.98,1.46,1.03,3.35,2.5,13.1,13.73,108.58,9.8,2.72,18.67,4.05,0.83,7.56,19.97,81.55,7.54,1.4,5.2,2.5,3.32,3.17,3.5,9.2,0.62,2.1,1.3,,,
Meg_alc_20_3495,belted_kingfisher,Megaceryle_alcyon,Y,TRUE,131.2,136.84,31.2,56.1,3.82,3.75,2.63,0.71,1.37,1.25,0.98,3.78,2.78,10.95,13.94,109.48,9.4,2.74,18.59,4.1,0.85,6.04,18.5,84.67,7.05,1.37,4.4,1.69,3.33,3.1,3.6,9.3,0.67,2.1,1.4,,,
Lar_gla_20_0341,glaucous_winged_gull,Larus_glaucescens,Y,FALSE,1033.84,1063.15,55.2,132.4,7.41,9.65,6,2.05,2.05,2.2,1.4,9,7.4,122.04,112.82,828.32,12.9,3.9,85.92,11.4,4.4,56.74,39.96,647.1,9.9,2.4,8.8,5,69.99,70.21,6.8,12.5,5.02,6.3,4.3,,,
Cya_ste_12_2381,Stellers_jay,Cyanocitta_stelleri,N,FALSE,0,102.24,24.3,,3.4,4.2,3.8,,0.92,0.92,0.43,5.64,2.5,,,,,,,,,,,,,,,,,,2.2,10.8,0.5,,,,,
Bra_can_21_0120,Canada goose,Branta_canadensis,Y,TRUE,4253.1,4200.83,88,156,16.7,15.5,11,3.2,7.6,5,2.86,16,14.3,392.93,340.66,3467.24,13.21,4.86,111.44,25,6.64,163.3,54,3192.5,8.8,2.7,20.5,8,178.16,208.45,6.87,15.5,7.69,20,11,,,
Col_aur_21_0203,northern_flicker,Colaptes_auratus,Y,FALSE,80.06,118.24,28.2,48.9,2.79,3.48,1.61,0.51,0.895,1.82,1.55,3.13,2.46,7.28,7.28,70.78,6.41,2.42,12.56,4.31,0.69,3.75,19.2,49.19,,,4.86,1.43,4.49,4.37,1.87,10.03,0.66,3.61,1.45,,,
Oce_leu_21_0203,storm_petrel,Hydrobates_leucorhous,Y,FALSE,19.44011507,19.44,20.02,48.4,2.75,2.83,2.29,0.41,0.35,0.76,0.56,4.62,2.28,2.61,2.61,14.22,3.95,1.4,2.88,2.5,0.38,1.04,14.49,10.30011507,,,3.19,1.20,0.91,0.88,2.03,7.1,0.69,,,,,
Cya_ste_19_3363,Stellers_jay,Cyanocitta_stelleri,N,FALSE,118.71,117.99,32.6,46.5,3.31,4.2,2.3,0.63,0.9,0.92,0.6,4.64,2.08,7.08,5.28,104.95,6.51,2.01,19.06,4.25,1.24,5.73,22.5,79.76,4.05,1.68,4.15,1.32,10.95,10.69,3.44,12.54,0.78,3.78,1.52,,,
Col_liv_17_033,pigeon,Columba_livia,N,FALSE,265.82,,32.5,,4.68,5.85,3.3,0.98,1.755,1.17,1.6,6,3.9,,,273.22,4.82,2.6,11.28,6.1,0.98,11.64,24.2,242.9,,,5.2,2.18,16.7,14.7,3.48,10.5,3.82,4.72,2.37,,,
Aec_occ_13_3367,western_grebe,Aechmophorus_occidentalis,Y,TRUE,1224.33,1207.29,56.9,78.6,10.43,9.06,2.7,1.2,3.245,1.56,3.15,20,4.15,39.2,43.1,1122.72,13.41,2.92,40.24,19.18,1.98,69.91,33.44,1035.78,,,9.70,2.7,0,0,4.05,10.00,23.46,9.27,2.7,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
